,Unit,Value,Year,Month,Numeric_date
724,Parts Per Million,350.43,1988.0,11.0,1988.9166666666667
726,Parts Per Million,351.62,1988.0,12.0,1989.0
728,Parts Per Million,353.07,1989.0,1.0,1989.0833333333333
730,Parts Per Million,353.43,1989.0,2.0,1989.1666666666667
732,Parts Per Million,354.08,1989.0,3.0,1989.25
734,Parts Per Million,355.72,1989.0,4.0,1989.3333333333333
736,Parts Per Million,355.95,1989.0,5.0,1989.4166666666667
738,Parts Per Million,355.44,1989.0,6.0,1989.5
740,Parts Per Million,354.05,1989.0,7.0,1989.5833333333333
742,Parts Per Million,351.84,1989.0,8.0,1989.6666666666667
744,Parts Per Million,350.09,1989.0,9.0,1989.75
746,Parts Per Million,350.33,1989.0,10.0,1989.8333333333333
748,Parts Per Million,351.55,1989.0,11.0,1989.9166666666667
750,Parts Per Million,352.91,1989.0,12.0,1990.0
752,Parts Per Million,353.86,1990.0,1.0,1990.0833333333333
754,Parts Per Million,355.1,1990.0,2.0,1990.1666666666667
756,Parts Per Million,355.75,1990.0,3.0,1990.25
758,Parts Per Million,356.38,1990.0,4.0,1990.3333333333333
760,Parts Per Million,357.38,1990.0,5.0,1990.4166666666667
762,Parts Per Million,356.39,1990.0,6.0,1990.5
764,Parts Per Million,354.89,1990.0,7.0,1990.5833333333333
766,Parts Per Million,353.06,1990.0,8.0,1990.6666666666667
768,Parts Per Million,351.38,1990.0,9.0,1990.75
770,Parts Per Million,351.69,1990.0,10.0,1990.8333333333333
772,Parts Per Million,353.14,1990.0,11.0,1990.9166666666667
774,Parts Per Million,354.41,1990.0,12.0,1991.0
776,Parts Per Million,354.93,1991.0,1.0,1991.0833333333333
778,Parts Per Million,355.82,1991.0,2.0,1991.1666666666667
780,Parts Per Million,357.33,1991.0,3.0,1991.25
782,Parts Per Million,358.77,1991.0,4.0,1991.3333333333333
784,Parts Per Million,359.23,1991.0,5.0,1991.4166666666667
786,Parts Per Million,358.23,1991.0,6.0,1991.5
788,Parts Per Million,356.3,1991.0,7.0,1991.5833333333333
790,Parts Per Million,353.97,1991.0,8.0,1991.6666666666667
792,Parts Per Million,352.34,1991.0,9.0,1991.75
794,Parts Per Million,352.43,1991.0,10.0,1991.8333333333333
796,Parts Per Million,353.89,1991.0,11.0,1991.9166666666667
798,Parts Per Million,355.21,1991.0,12.0,1992.0
800,Parts Per Million,356.34,1992.0,1.0,1992.0833333333333
802,Parts Per Million,357.21,1992.0,2.0,1992.1666666666667
804,Parts Per Million,357.97,1992.0,3.0,1992.25
806,Parts Per Million,359.22,1992.0,4.0,1992.3333333333333
808,Parts Per Million,359.71,1992.0,5.0,1992.4166666666667
810,Parts Per Million,359.44,1992.0,6.0,1992.5
812,Parts Per Million,357.15,1992.0,7.0,1992.5833333333333
